,Movie_name,Year,Rating(%),Directed By
0,The Dark Knight,(2008),94%,Christopher Nolan
1,The Maltese Falcon,(1941),99%,John Huston
2,It Happened One Night,(1934),98%,Frank Capra
3,The Wages of Fear,(1953),100%,Henri-Georges Clouzot
4,North by Northwest,(1959),97%,Alfred Hitchcock
5,Bicycle Thieves,(1948),99%,Vittorio De Sica
6,Alien,(1979),93%,Ridley Scott
7,Argo,(2012),96%,Ben Affleck
8,Get Out,(2017),98%,Jordan Peele
9,The Kid,(1921),100%,Charlie Chaplin
10,Mission: Impossible - Dead Reckoning Part One,(2023),96%,Christopher McQuarrie
11,The Pianist,(2002),95%,Roman Polanski
12,Kind Hearts and Coronets,(1949),100%,Robert Hamer
13,The 400 Blows,(1959),99%,François Truffaut
14,Grave of the Fireflies,(1988),100%,Isao Takahata
15,The Big Sick,(2017),98%,Michael Showalter
16,Minari,(2020),98%,Lee Isaac Chung
17,Portrait of a Lady on Fire,(2019),97%,Céline Sciamma
18,The Treasure of the Sierra Madre,(1948),100%,John Huston
19,Apocalypse Now,(1979),90%,Francis Ford Coppola
20,Mission: Impossible - Fallout,(2018),98%,Christopher McQuarrie
21,The Last Picture Show,(1971),98%,Peter Bogdanovich
22,Tampopo,(1985),100%,Juzo Itami
23,Mad Max: Fury Road,(2015),97%,George Miller
24,Tokyo Story,(1953),100%,Yasujirô Ozu
25,A Hard Day's Night,(1964),98%,Richard Lester
26,Metropolis,(1927),97%,Fritz Lang
27,Good Will Hunting,(1997),97%,Gus Van Sant
28,The Gold Rush,(1925),100%,Charlie Chaplin
29,Aliens,(1986),94%,James Cameron
30,Spider-Man: Across the Spider-Verse,(2023),95%,Joaquim Dos Santos
31,"The Good, the Bad and the Ugly",(1966),97%,Sergio Leone
32,Harry Potter and the Deathly Hallows: Part 2,(2011),96%,David Yates
33,The Silence of the Lambs,(1991),95%,Jonathan Demme
34,Fanny and Alexander,(1982),100%,Ingmar Bergman
35,Laura,(1944),100%,Otto Preminger
36,The Shop Around the Corner,(1940),99%,Ernst Lubitsch
37,His Girl Friday,(1940),99%,Howard Hawks
38,All Quiet on the Western Front,(1930),98%,Lewis Milestone
